timestamp	Ta	RH	ws	wd	Rin	prec_mm	ET_filled	LE.filled	soil_temp10cm	veg_fraction	impervious_fraction
2019-01-01	8.22686199445098	91.8350193572365	4.74642955140279	265.573507553605	0	0	0.0376108396898398	25.929351097561	6.30217	0.6973838091159	0.329643565013823
2019-01-01 01:00:00	8.41133389662258	89.6875	5.4938869243397	258.333333333333	0	0	0.0284062745307794	19.5824049135361	6.35	0.697029872008036	0.331690241161051
2019-01-01 02:00:00	8.06395114272193	89.8125	5.21220328431511	270.086044803726	0	0	0.0292467210932841	20.167170106383	6.39833	0.695732943367614	0.332479621149565
2019-01-01 03:00:00	7.6603422847798	90.625	5.21644046475936	259.946248997183	0	0	0.0295652069701478	20.39905	6.425165	0.697459388678543	0.32053869367184
2019-01-01 04:00:00	7.56309004749754	88.9375	5.37996321697157	259.98288830457	0	0.100709128126301	0.0245452828709445	16.9331474367089	6.438165	0.695339083417714	0.326749514989852
2019-01-01 05:00:00	7.43666536988432	86.5625	5.98705798318479	260	0	0	0.0414687054164679	28.61315	6.45267	0.695162594085804	0.332162081074951
2019-01-01 06:00:00	7.24841916068854	85.875	5.97355580862726	263.450250327409	0	0	0.022751971705271	15.7008046073392	6.4645	0.696073212787424	0.332587696064437
2019-01-01 07:00:00	7.05056434727404	87.0625	6.35043037808175	258.333333333333	0	0	0.0422509788045918	29.16495	6.46633	0.695371989813984	0.324524714022048
2019-01-01 08:00:00	6.95887607530566	90.375	6.72452830383138	260.107540566815	0.19456058648257	0	0.0243631974331811	16.8188959726267	6.466835	0.694817591247111	0.329309005028359
2019-01-01 09:00:00	6.73160503815641	93.6300004174403	6.6041486561948	257.5	23.9088038328395	0.104341943180654	0.0380398769631869	26.2660547727273	6.467165	0.703750835690023	0.336816190591831
2019-01-01 10:00:00	6.97630624449774	93.0821993098389	7.31350862426205	259.166666666667	57.0943438887901	0.293807072010261	0.0483544870236709	33.377868358396	6.48133	0.696731320894022	0.35327084836162
2019-01-01 11:00:00	7.49072304373181	88.2285317005682	7.77011229612368	286.315780112926	79.6756771803446	0.313268338785542	0.0509256813390905	35.149541025641	6.5165	0.695161997085204	0.354193044463911
2019-01-01 12:00:00	6.99821727809575	78.2354497765922	8.225181838017	299.666127805546	91.5288695846067	0.32009543555932	0.088459304116924	61.0536815789474	6.54333	0.696660967274909	0.347579075170026
2019-01-01 13:00:00	7.41489303040874	68.6940031089542	7.14508046423707	289.569032822621	116.516896139903	0	0.133118132961898	91.84455	6.546835	0.705641448265912	0.341791058889345
2019-01-01 14:00:00	7.02013278281553	71.4917763350801	6.78029181077173	289.66284985707	124.265743513661	0	0.0367503262258973	25.3776036020249	6.5365	0.703309747711507	0.33765552928456
2019-01-01 15:00:00	5.89049793129205	79.7122781259959	7.01576589329602	289.666687790451	37.2075657169306	0.590148002009513	0.0230695214609317	15.9455423043224	6.49817	0.70599858865283	0.340543778148962
2019-01-01 16:00:00	5.49268373699141	81.0168284592413	7.79728207684088	284.374433460555	4.07029394815014	0.0797556575212792	0.130798626027302	90.4183	6.421	0.699179072876126	0.34668342236772
2019-01-01 17:00:00	5.02016642012009	76.3559686109076	7.11210512707558	290.09821926955	0	0.0713548150178868	0.0533457494629152	36.8941	6.304835	0.698095996701647	0.348078398508062
2019-01-01 18:00:00	4.71243715175772	75.7227093005033	6.72427337675854	289.626234826245	0	0	0.0356325076291947	24.6483082075472	6.214	0.702353121385298	0.342231198549581
2019-01-01 19:00:00	4.6870527383874	68.4898066048972	8.12525283398701	291.853521121237	0	0	0.022051376387824	15.2525385849057	6.127335	0.700024293703083	0.341121071583313
2019-01-01 20:00:00	4.81514314935223	66.0767737192856	8.6111758053383	289.119803641988	0	0	0.040080627963663	27.7225280188679	6.043165	0.696471503869174	0.343474299046951
2019-01-01 21:00:00	4.60140272045754	64.3491888484502	7.82160369270298	297.311988541411	0	0	0.0508055225498072	35.15115	5.962665	0.696001287436657	0.343502099854547
2019-01-01 22:00:00	4.22702554855552	63.5140237964467	8.42996053346874	299.737115751678	0	0	0.0200449728004482	13.8735735219213	5.88683	0.694772126936861	0.339842380428828
